測定日時,測定項目,測定値,単位,エリア,ポイント,HOLD中,メンテナンス時期,校正時期,消耗品交換時期,オーバーホール時期,ローバッテリ,センサまたは変換器異常,通信不良または断線,グループ名,サブグループ名,メールアドレス,シリアルNo.,状態,希釈倍率,非表示
2026/07/22 05:10,保管タンク,43111,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 05:00,保管タンク１,7541,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 05:00,保管タンク２,2409,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 05:00,保管タンク,15434,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 05:00,保管タンク,24152,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 05:00,保管タンク,43188,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 04:50,保管タンク１,7563,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:50,保管タンク２,2415,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:50,保管タンク,15449,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 04:50,保管タンク,24255,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 04:50,保管タンク,43188,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 04:40,保管タンク１,7527,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:40,保管タンク２,2393,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:40,保管タンク,15786,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 04:40,保管タンク,24368,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 04:40,保管タンク,43188,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 04:30,保管タンク１,7530,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:30,保管タンク２,2398,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:30,保管タンク,15820,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 04:30,保管タンク,24368,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 04:30,保管タンク,43177,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 04:20,保管タンク１,7538,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:20,保管タンク２,2409,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:20,保管タンク,15840,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 04:20,保管タンク,24585,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 04:20,保管タンク,43199,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 04:10,保管タンク１,7526,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:10,保管タンク２,2401,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:10,保管タンク,15855,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 04:10,保管タンク,24585,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 04:10,保管タンク,43199,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 04:00,保管タンク１,7488,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:00,保管タンク２,2394,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 04:00,保管タンク,15979,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 04:00,保管タンク,24698,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 04:00,保管タンク,43232,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 03:50,保管タンク１,7527,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:50,保管タンク２,2395,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:50,保管タンク,15989,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 03:50,保管タンク,24698,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 03:50,保管タンク,43199,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 03:40,保管タンク１,7479,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:40,保管タンク２,2395,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:40,保管タンク,16018,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 03:40,保管タンク,24915,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 03:40,保管タンク,43287,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 03:30,保管タンク１,7479,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:30,保管タンク２,2397,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:30,保管タンク,16008,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 03:30,保管タンク,25028,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 03:30,保管タンク,43221,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 03:20,保管タンク１,7479,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:20,保管タンク２,2397,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:20,保管タンク,16003,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 03:20,保管タンク,25132,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 03:20,保管タンク,43287,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 03:10,保管タンク１,7469,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:10,保管タンク２,2402,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:10,保管タンク,16053,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 03:10,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 03:10,保管タンク,43177,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 03:00,保管タンク１,7466,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:00,保管タンク２,2405,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 03:00,保管タンク,16063,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 03:00,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 03:00,保管タンク,43210,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 02:50,保管タンク１,7463,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:50,保管タンク２,2419,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:50,保管タンク,16083,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 02:50,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 02:50,保管タンク,43254,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 02:40,保管タンク１,7290,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:40,保管タンク２,2405,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:40,保管タンク,16073,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 02:40,保管タンク,25214,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 02:40,保管タンク,43243,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 02:30,保管タンク１,6680,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:30,保管タンク２,2403,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:30,保管タンク,16053,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 02:30,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 02:30,保管タンク,43221,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 02:20,保管タンク１,6710,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:20,保管タンク２,2400,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:20,保管タンク,16083,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 02:20,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 02:20,保管タンク,43221,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 02:10,保管タンク１,6735,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:10,保管タンク２,2413,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:10,保管タンク,16078,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 02:10,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 02:10,保管タンク,43221,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 02:00,保管タンク１,6683,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:00,保管タンク２,2409,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 02:00,保管タンク,16063,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 02:00,保管タンク,25224,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 02:00,保管タンク,43166,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 01:50,保管タンク１,6744,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:50,保管タンク２,2413,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:50,保管タンク,16335,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 01:50,保管タンク,25132,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 01:50,保管タンク,43188,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 01:40,保管タンク１,6737,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:40,保管タンク２,2412,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:40,保管タンク,16360,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 01:40,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 01:40,保管タンク,43089,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 01:30,保管タンク１,6698,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:30,保管タンク２,2423,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:30,保管タンク,16365,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 01:30,保管タンク,25204,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 01:30,保管タンク,43155,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 01:20,保管タンク１,6702,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:20,保管タンク２,2427,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:20,保管タンク,16355,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 01:20,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 01:20,保管タンク,43144,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 01:10,保管タンク１,6734,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:10,保管タンク２,2425,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:10,保管タンク,16360,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 01:10,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 01:10,保管タンク,43188,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 01:00,保管タンク１,6747,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:00,保管タンク２,2437,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 01:00,保管タンク,16370,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 01:00,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 01:00,保管タンク,43166,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 00:50,保管タンク１,6755,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:50,保管タンク２,2419,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:50,保管タンク,16389,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 00:50,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 00:50,保管タンク,43177,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 00:40,保管タンク１,6737,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:40,保管タンク２,2422,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:40,保管タンク,16370,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 00:40,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 00:40,保管タンク,43144,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 00:30,保管タンク１,6755,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:30,保管タンク２,2424,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:30,保管タンク,16370,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 00:30,保管タンク,25132,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 00:30,保管タンク,43078,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 00:20,保管タンク１,6774,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:20,保管タンク２,2427,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:20,保管タンク,16380,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 00:20,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 00:20,保管タンク,43078,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 00:10,保管タンク１,6741,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:10,保管タンク２,2419,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:10,保管タンク,16404,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 00:10,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 00:10,保管タンク,43122,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/22 00:00,保管タンク１,6776,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:00,保管タンク２,2431,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/22 00:00,保管タンク,16394,kg,北海道,コスモアグリ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2451053490003,,0,
2026/07/22 00:00,保管タンク,25245,㎏,北海道,ノベルズデイリーファーム,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2511053490009,,0,
2026/07/22 00:00,保管タンク,43122,L,北海道,ベンチャーグレイン,,,,,,,,,タンク遠隔監視システム,ベンチャーグレイン,alterna@mbr.nifty.com,2451053490004,,0,
2026/07/21 23:50,保管タンク１,6785,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
2026/07/21 23:50,保管タンク２,2422,L,長野,ポテトデリカ,,,,,,,,,タンク遠隔監視システム,,zko@nifty.com,2438053490012,,0,
